,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,City Date
0,East London,-33.0153,27.9116,61.92,81,16,4.5,ZA,1635649071
1,Dikson,73.5069,80.5464,6.19,90,94,15.08,RU,1635649074
2,Punta Arenas,-53.15,-70.9167,42.91,70,0,4.61,CL,1635649075
3,Hirado,33.3597,129.5531,69.15,65,6,18.97,JP,1635649077
4,Carnarvon,-24.8667,113.6333,73.47,56,0,18.41,AU,1635648791
5,Provideniya,64.3833,-173.3,12.74,73,88,11.56,RU,1635649081
6,Bredasdorp,-34.5322,20.0403,52.92,94,39,3.44,ZA,1635649083
7,Saint George,37.1041,-113.5841,65.66,47,100,1.99,US,1635649084
8,Kapaa,22.0752,-159.319,73.9,76,90,5.75,US,1635649086
9,Hermanus,-34.4187,19.2345,59.81,88,78,8.32,ZA,1635649088
10,Antofagasta,-23.65,-70.4,60.08,76,25,1.77,CL,1635649025
11,Saint-Philippe,-21.3585,55.7679,71.58,78,21,3.53,RE,1635649090
12,Korla,41.7597,86.1469,50.88,36,3,5.01,CN,1635649092
13,Busselton,-33.65,115.3333,69.04,61,98,6.49,AU,1635649094
14,Mar del Plata,-38.0023,-57.5575,55.83,85,75,5.01,AR,1635649095
15,Chinsali,-10.5414,32.0816,68.49,38,52,1.95,ZM,1635649097
16,Kavieng,-2.5744,150.7967,82.83,76,84,12.75,PG,1635649098
17,Polunochnoye,60.8697,60.4153,14.56,98,94,2.64,RU,1635649099
18,Klaksvík,62.2266,-6.589,41.92,90,100,8.25,FO,1635649101
19,Médéa,36.2642,2.7539,61.25,46,68,3.2,DZ,1635649102
20,Jamestown,42.097,-79.2353,50.09,98,90,0.0,US,1635648993
21,Nhulunbuy,-12.2333,136.7667,92.01,52,75,10.36,AU,1635649104
22,Pevek,69.7008,170.3133,-1.37,96,100,9.75,RU,1635649106
23,Pontes e Lacerda,-15.2261,-59.3353,72.91,91,23,1.83,BR,1635649107
24,Hengshui,37.7322,115.7011,63.9,42,20,11.36,CN,1635649108
25,Butaritari,3.0707,172.7902,82.58,73,7,5.64,KI,1635649110
26,Shirgaon,19.7,72.7,82.42,51,7,6.33,IN,1635649111
27,Ribeira Grande,38.5167,-28.7,70.32,91,100,15.97,PT,1635649113
28,Albany,42.6001,-73.9662,52.2,94,100,3.2,US,1635649092
29,Lavrentiya,65.5833,-171.0,12.81,81,35,7.83,RU,1635649116
30,Lüderitz,-26.6481,15.1594,56.89,95,23,1.16,NA,1635649117
31,Mataura,-46.1927,168.8643,44.92,94,100,11.7,NZ,1635649119
32,Ushuaia,-54.8,-68.3,46.06,53,0,13.8,AR,1635648987
33,Kishtwār,33.3167,75.7667,52.74,30,0,3.09,IN,1635649121
34,Samarai,-10.6167,150.6667,84.16,76,100,12.86,PG,1635649122
35,Dingle,10.9995,122.6711,83.64,74,87,16.08,PH,1635649123
36,George Town,5.4112,100.3354,82.87,76,20,5.99,MY,1635648938
37,Huarmey,-10.0681,-78.1522,63.84,84,70,6.69,PE,1635649126
38,Rikitea,-23.1203,-134.9692,74.57,87,100,20.51,PF,1635649127
39,Grand-Lahou,5.1367,-5.0242,76.78,90,80,6.85,CI,1635649129
40,Port Alfred,-33.5906,26.891,63.72,81,58,4.59,ZA,1635648993
41,Cidreira,-30.1811,-50.2056,67.77,88,99,20.85,BR,1635649131
42,La Ronge,55.1001,-105.2842,34.05,64,90,12.66,CA,1635649132
43,Itarema,-2.9248,-39.9167,79.43,80,32,10.6,BR,1635649134
44,Barrow,71.2906,-156.7887,15.82,86,90,8.05,US,1635649135
45,Zigong,29.3416,104.7769,62.1,84,100,3.91,CN,1635649136
46,Vaini,-21.2,-175.2,80.76,78,20,8.05,TO,1635649137
47,Padang,-0.9492,100.3543,82.45,80,99,3.11,ID,1635649139
48,Vao,-22.6667,167.4833,72.18,70,65,4.36,NC,1635649140
49,Nikolskoye,59.7035,30.7861,43.0,94,88,6.71,RU,1635649141
50,Scarborough,54.2797,-0.4044,43.25,89,69,1.01,GB,1635649086
51,Vikulovo,56.8167,70.6107,23.54,96,84,9.31,RU,1635649144
52,Kruisfontein,-34.0033,24.7314,56.3,90,82,5.77,ZA,1635649146
53,Naze,28.3667,129.4833,74.32,63,1,7.61,JP,1635649063
54,Smithers,54.7804,-127.1743,30.52,80,1,0.0,CA,1635649149
55,Cape Town,-33.9258,18.4232,58.64,88,0,1.01,ZA,1635648922
56,Tautira,-17.7333,-149.15,82.42,73,55,17.05,PF,1635649151
57,Port Hawkesbury,45.6169,-61.3485,45.77,95,90,4.0,CA,1635649153
58,Valparaíso,-33.0393,-71.6273,53.24,93,20,2.3,CL,1635649154
59,Astara,38.5,48.6667,47.1,90,100,0.4,AZ,1635649155
