,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,City Date
0,Lompoc,34.6391,66.11,78,20,10.36,US,1635626839
1,Ushuaia,-54.8,51.46,50,0,19.57,AR,1635627213
2,Albany,42.6001,56.12,89,91,6.44,US,1635627139
3,Cape Town,-33.9258,61.61,79,0,1.01,ZA,1635627222
4,Séguéla,7.9611,75.43,79,95,2.8,CI,1635627430
5,Suntar,62.1444,26.64,86,100,8.43,RU,1635627431
6,George Town,5.4112,77.34,93,20,1.99,MY,1635626849
7,Dudinka,69.4058,11.16,96,100,4.14,RU,1635627434
8,Gibara,21.1097,84.81,67,97,3.47,CU,1635627436
9,Avarua,-21.2078,75.25,60,20,13.8,CK,1635627249
10,Chaoyang,41.5703,42.84,70,100,11.23,CN,1635627438
11,Teya,60.3778,18.41,83,99,12.82,RU,1635627439
12,Vanimo,-2.6741,77.77,89,95,4.34,PG,1635627442
13,Nanortalik,60.1432,34.38,73,46,2.89,GL,1635626855
14,Hilo,19.7297,78.08,82,0,3.0,US,1635627198
15,Sorong,-0.8833,78.04,86,46,5.7,ID,1635627445
16,Bayir,37.2687,52.32,81,100,3.91,TR,1635627446
17,Lebu,-37.6167,55.06,73,100,15.05,CL,1635627448
18,Teguise,29.0605,66.42,78,0,8.05,ES,1635627450
19,Rikitea,-23.1203,75.02,85,73,21.88,PF,1635627212
20,Punta Arenas,-53.15,53.71,40,0,17.27,CL,1635627452
21,Pimenta Bueno,-11.6725,80.15,68,99,5.21,BR,1635627454
22,Clyde River,70.4692,28.63,100,90,23.02,CA,1635627455
23,Nara,34.6851,59.11,73,92,3.0,JP,1635627344
24,New Norfolk,-42.7826,52.39,57,85,3.0,AU,1635627459
25,Lázaro Cárdenas,17.9583,83.43,70,1,6.13,MX,1635627460
26,Isangel,-19.55,79.07,70,0,4.54,VU,1635627462
27,Beringovskiy,63.05,5.79,97,97,17.85,RU,1635626878
28,Kaeo,-35.1,63.32,93,100,7.25,NZ,1635627465
29,El Jícaro,14.9167,83.73,74,97,3.96,GT,1635627466
30,Lorengau,-2.0226,82.44,79,89,6.8,PG,1635626918
31,Bambous Virieux,-20.3428,71.85,88,20,3.44,MU,1635627468
32,Hobart,-42.8794,54.21,62,75,5.01,AU,1635627175
33,Port Alfred,-33.5906,64.94,86,79,6.49,ZA,1635627240
34,Barrow,71.2906,16.72,93,93,1.14,US,1635627214
35,Coyhaique,-45.5752,62.55,20,0,10.36,CL,1635626938
36,Jamestown,42.097,53.08,85,90,3.0,US,1635627319
37,San Miguel de Tucumán,-26.8241,95.0,26,20,6.91,AR,1635627015
38,Xihe,31.6864,60.49,55,92,1.74,CN,1635627477
39,Busselton,-33.65,43.05,90,92,5.73,AU,1635627257
40,Bonavista,48.6499,44.6,68,1,3.44,CA,1635627018
41,Gulariyā,28.2333,63.5,83,0,1.79,NP,1635627482
42,East London,-33.0153,64.81,85,80,7.4,ZA,1635627348
43,Ilulissat,69.2167,30.63,79,100,8.99,GL,1635627228
44,São João da Barra,-21.6403,71.69,89,100,12.08,BR,1635627288
45,Ust-Maya,60.4167,-6.83,100,63,0.87,RU,1635627162
46,Leningradskiy,69.3833,-1.48,96,99,6.33,RU,1635627246
47,Kaitangata,-46.2817,58.05,57,100,5.86,NZ,1635627239
48,Hualmay,-11.0964,66.94,73,88,7.43,PE,1635627284
49,Atuona,-9.8,78.08,66,4,16.06,PF,1635627390
50,Ararat,39.8317,48.54,74,95,1.07,AM,1635627494
51,Jiayuguan City,39.8167,36.95,42,41,5.19,CN,1635627496
52,Narsaq,60.9167,30.42,68,92,4.85,GL,1635626899
53,Fortuna,40.5982,61.34,73,75,1.99,US,1635627155
54,Pisco,-13.7,66.25,77,0,12.66,PE,1635627201
55,Hong Kong,22.2855,73.09,84,97,1.99,HK,1635627240
56,Along,28.1667,58.15,78,5,1.21,IN,1635627501
57,Arraial do Cabo,-22.9661,73.26,83,75,10.36,BR,1635627503
58,Mataura,-46.1927,57.43,57,100,12.01,NZ,1635627149
59,Tuktoyaktuk,69.4541,17.6,100,75,10.36,CA,1635627270
60,Butaritari,3.0707,82.44,72,29,6.11,KI,1635627283
61,Riverton,40.5219,65.71,41,1,1.99,US,1635627409
62,Mount Gambier,-37.8333,40.91,93,17,1.14,AU,1635627509
63,Derzhavīnsk,51.1,40.96,76,100,22.84,KZ,1635627510
64,Touros,-5.1989,83.3,77,66,18.03,BR,1635627433
65,Upernavik,72.7868,27.01,57,100,6.51,GL,1635627420
66,West Lake Stevens,47.9934,50.83,61,0,3.0,US,1635627514
67,Itacoatiara,-3.1431,90.27,48,61,1.66,BR,1635627445
68,Bluff,-46.6,52.92,85,93,22.17,NZ,1635627378
69,Neiafu,-18.65,79.48,69,75,9.22,TO,1635626944
70,Richards Bay,-28.783,63.21,86,70,7.34,ZA,1635627520
71,Mirny,62.5353,27.09,95,100,10.38,RU,1635627522
72,Filimonovo,56.2011,29.64,65,100,5.99,RU,1635627523
73,Fairbanks,64.8378,33.21,73,20,6.91,US,1635627479
74,Kautokeino,69.0125,28.8,98,100,7.31,NO,1635627526
75,Finnsnes,69.2296,34.41,96,100,3.94,NO,1635627528
76,Cidreira,-30.1811,68.47,86,28,22.84,BR,1635627254
77,Pevek,69.7008,-3.24,96,100,10.49,RU,1635627245
78,Bay Roberts,47.5999,43.88,83,0,1.01,CA,1635627532
79,Provideniya,64.3833,13.08,80,89,10.67,RU,1635627205
80,Tautira,-17.7333,82.42,76,41,16.62,PF,1635627292
81,Egvekinot,66.3167,0.5,90,100,10.78,RU,1635627499
82,Bandarbeyla,9.4942,78.42,79,80,12.59,SO,1635627538
83,Synya,65.3718,12.61,91,97,3.87,RU,1635627540
84,Tagusao,9.1924,79.48,83,52,3.44,PH,1635627542
85,Katsuura,35.1333,57.22,69,100,4.16,JP,1635627543
86,Hithadhoo,-0.6,83.08,74,100,19.35,MV,1635627276
87,Zyryanovsk,49.7386,37.22,95,100,2.21,KZ,1635627546
88,Saint-Philippe,-21.3585,69.31,79,86,3.85,RE,1635627185
89,Shache,38.4167,47.03,34,1,4.14,CN,1635627548
90,Lavrentiya,65.5833,12.16,79,34,6.24,RU,1635627430
91,Asău,46.4333,41.59,94,0,1.25,RO,1635627343
92,Pombas,17.1503,76.78,82,97,12.82,CV,1635627552
93,Pochutla,15.7432,84.81,65,49,7.09,MX,1635627297
94,Saquarema,-22.92,71.67,87,100,13.22,BR,1635627447
95,Mehamn,71.0357,38.7,76,92,6.33,NO,1635627005
96,Kwakoa,-3.7667,70.9,83,8,4.0,TZ,1635627557
97,Hofn,64.2539,42.78,85,100,13.0,IS,1635626744
98,Tiksi,71.6872,-0.63,95,96,8.37,RU,1635627560
99,Qaanaaq,77.484,2.01,54,0,8.72,GL,1635627306
100,Motygino,58.1831,24.53,61,95,8.52,RU,1635627564
101,Micheweni,-4.9667,77.67,80,15,8.3,TZ,1635627565
102,Balkanabat,39.5108,57.87,49,65,4.29,TM,1635627273
103,Yellowknife,62.456,30.56,81,40,8.99,CA,1635627161
